AssemblySKU	PartSKU	Quantity
QAR-0001	QAR-0002	1
QAR-0001	QAR-0003	1
QAR-0001	QAR-0004	1
QAR-0001	QAR-0005	1
QAR-0001	QAR-0006	1
QAR-0001	QAR-0007	1
QAR-0001	QAR-0008	1
QAR-0001	QAR-0009	1
QAR-0001	QAR-0010	1
QAR-0001	QAR-0011	1
QAR-0001	QAR-0012	1
QAR-0001	QAR-0013	1
QAR-0001	QAR-0014	1
QAR-0001	QAR-0015	1
QAR-0001	QAR-0016	1
QAR-0002	QAR-0017	1
QAR-0002	OFT-0001	1
QAR-0002	QAR-0018	1
QAR-0002	OFT-0002	1
QAR-0002	OFT-0003	1
QAR-0017	QAR-0019	1
QAR-0017	QAR-0020	1
QAR-0017	QAR-0021	1
QAR-0017	QAR-0022	1
QAR-0017	KIT-0001	1
KIT-0001	PRT-0001	1800
KIT-0001	PRT-0002	700
KIT-0001	PRT-0003	240
KIT-0001	PRT-0004	80
OFT-0001	ASM-0001	1
OFT-0001	ASM-0002	1
OFT-0001	ASM-0003	5
OFT-0001	ASM-0004	6
OFT-0001	KIT-0002	1
OFT-0001	PRT-0005	1
OFT-0001	ASM-0005	2
ASM-0001	PRT-0008	8
ASM-0001	PRT-0007	8
ASM-0002	PRT-0009	6
ASM-0002	PRT-0007	6
KIT-0002	PRT-0006	40
KIT-0002	PRT-0007	48
QAR-0018	QAR-0023	1
QAR-0018	QAR-0024	1
QAR-0018	PRT-0010	4
QAR-0018	PRT-0011	4
QAR-0018	PRT-0012	2
OFT-0002	ASM-0006	2
OFT-0002	PRT-0013	2
OFT-0002	ASM-0007	12
ASM-0006	PRT-0014	1
ASM-0006	KIT-0003	1
OFT-0003	MAT-0001	500
OFT-0003	PRT-0015	80
OFT-0003	PRT-0016	40
QAR-0003	OFT-0004	1
QAR-0003	OFT-0005	1
QAR-0003	OFT-0006	1
QAR-0003	OFT-0007	1
QAR-0003	OFT-0008	1
QAR-0003	KIT-0004	1
OFT-0004	KIT-0005	16
OFT-0005	KIT-0006	16
OFT-0006	KIT-0007	8
KIT-0005	PRT-0017	1
KIT-0005	ASM-0008	1
KIT-0005	KIT-0008	1
KIT-0005	KIT-0010	1
KIT-0005	KIT-0012	1
KIT-0005	LBL-0001	1
KIT-0006	PRT-0018	1
KIT-0006	ASM-0009	1
KIT-0006	KIT-0008	1
KIT-0006	KIT-0011	1
KIT-0006	KIT-0013	1
KIT-0006	LBL-0002	1
KIT-0007	PRT-0019	1
KIT-0007	ASM-0010	1
KIT-0007	KIT-0009	1
KIT-0007	KIT-0014	1
KIT-0007	LBL-0003	1
ASM-0008	PRT-0020	2
ASM-0008	PRT-0022	1
ASM-0008	PRT-0024	2
ASM-0008	PRT-0026	4
ASM-0008	PRT-0028	2
ASM-0008	PRT-0029	4
ASM-0008	ASM-0011	2
ASM-0008	PRT-0030	1
ASM-0009	PRT-0021	2
ASM-0009	PRT-0023	1
ASM-0009	PRT-0025	2
ASM-0009	PRT-0027	4
ASM-0009	PRT-0028	2
ASM-0009	PRT-0029	4
ASM-0009	ASM-0011	2
ASM-0009	PRT-0030	1
KIT-0008	PRT-0031	1
KIT-0008	PRT-0032	1
KIT-0008	PRT-0033	1
KIT-0008	PRT-0034	1
KIT-0008	PRT-0035	1
KIT-0008	PRT-0036	2
KIT-0008	KIT-0015	1
KIT-0008	PRT-0037	1
KIT-0008	PRT-0040	1
KIT-0009	ASM-0012	1
KIT-0009	KIT-0015	1
KIT-0009	PRT-0037	1
ASM-0010	PRT-0041	1
ASM-0010	PRT-0042	1
KIT-0010	PRT-0043	1
KIT-0010	ASM-0013	2
KIT-0011	PRT-0044	1
KIT-0011	ASM-0013	2
ASM-0013	PRT-0045	1
ASM-0013	PRT-0046	1
ASM-0013	PRT-0047	1
ASM-0013	PRT-0048	2
KIT-0012	ASM-0015	1
KIT-0012	PRT-0049	30
KIT-0012	PRT-0052	4
KIT-0012	ASM-0014	4
KIT-0012	MAT-0002	40
KIT-0012	PRT-0038	1
KIT-0013	ASM-0016	1
KIT-0013	PRT-0050	30
KIT-0013	ASM-0014	4
KIT-0013	MAT-0003	40
KIT-0013	PRT-0039	1
KIT-0014	PKG-0001	1
KIT-0014	PRT-0051	100
OFT-0007	ASM-0017	80
OFT-0007	KIT-0016	2
OFT-0007	ASM-0018	4
OFT-0007	PKG-0003	12
OFT-0007	MAT-0005	800
OFT-0007	MAT-0006	800
OFT-0007	LBL-0004	6
ASM-0017	PKG-0002	1
ASM-0017	MAT-0004	25
ASM-0017	LBL-0004	1
KIT-0016	PRT-0053	1
KIT-0016	KIT-0017	1
KIT-0016	PRT-0054	2
KIT-0016	PRT-0055	2
OFT-0008	KIT-0018	150
OFT-0008	KIT-0019	75
OFT-0008	PRT-0056	150
OFT-0008	PRT-0057	100
OFT-0008	PRT-0058	60
OFT-0008	ASM-0019	24
OFT-0008	PRT-0062	8
KIT-0018	PRT-0059	1
KIT-0018	PKG-0004	1
KIT-0018	MAT-0007	6
KIT-0018	MAT-0008	24
KIT-0018	PRT-0061	1
KIT-0019	PRT-0060	2
KIT-0019	MAT-0007	4
KIT-0019	MAT-0009	24
KIT-0019	PRT-0061	1
KIT-0004	PRT-0029	80
KIT-0004	ASM-0011	12
KIT-0004	PRT-0038	8
KIT-0004	PRT-0039	8
KIT-0004	PRT-0037	12
KIT-0004	PRT-0045	16
KIT-0004	PRT-0048	24
QAR-0004	QAR-0025	1
QAR-0004	OFT-0009	1
QAR-0004	OFT-0010	1
QAR-0004	QAR-0026	1
QAR-0004	OFT-0011	1
QAR-0025	QAR-0027	1
QAR-0025	QAR-0028	1
QAR-0025	QAR-0029	1
QAR-0025	QAR-0030	1
QAR-0025	QAR-0031	1
QAR-0025	QAR-0032	1
QAR-0025	QAR-0033	1
QAR-0025	QAR-0034	1
QAR-0025	QAR-0035	1
QAR-0025	QAR-0036	1
QAR-0025	QAR-0037	1
