LocalSKU	ItemName	Vendor	UPC
QAR-0001	Queen Anne's Revenge, Frigate, 1718	QARYARD	020171800018
QAR-0002	Hull, Deck and Fixed Ship Fittings	SHIPWRIGHT	020171800025
QAR-0003	Complete Armament Outfit	GUNDECK	020171800032
QAR-0004	Masts, Rigging and Sail Outfit	SAILLOFT	020171800049
QAR-0005	Ground Tackle and Mooring Outfit	BOATSWAIN	020171800056
QAR-0006	Ship's Boats Outfit	BOATSHOP	020171800063
QAR-0007	Navigation and Signaling Outfit	NAVROOM	020171800070
QAR-0008	Carpenter and Hull Repair Stores	CARPENTER	020171800087
QAR-0009	Sailmaker and Rigging Repair Stores	SAILLOFT	020171800094
QAR-0010	Surgeon's Sea Chest and Sick Bay	SURGEON	020171800100
QAR-0011	Galley and Mess Outfit	GALLEY	020171800117
QAR-0012	Thirty-Day Voyage Provisions for 300	QUARTER	020171800124
QAR-0013	Crew Issue and Berthing Outfit for 300	QUARTER	020171800131
QAR-0014	Captain and Quartermaster Cabin Outfit	QUARTER	020171800148
QAR-0015	Fire, Flood and Emergency Outfit	BOATSWAIN	020171800155
QAR-0016	Reconstruction Label and Inspection Stock	LABELSHOP	020171800162
QAR-0017	Hull Structure Assembly	SHIPWRIGHT	020171800179
OFT-0001	Deck Machinery and Fittings Outfit	SHIPWRIGHT	020171800186
QAR-0018	Rudder and Steering Assembly	SHIPWRIGHT	020171800193
OFT-0002	Bilge, Pump and Drainage Outfit	SHIPWRIGHT	020171800209
OFT-0003	Ballast Distribution Outfit	SHIPWRIGHT	020171800216
QAR-0019	Keel and Keelson Assembly	SHIPWRIGHT	020171800223
QAR-0020	Paired Frame Component Set	SHIPWRIGHT	020171800230
QAR-0021	Outer Hull Planking Set	SHIPWRIGHT	020171800247
QAR-0022	Sacrificial Hull Sheathing Set	SHIPWRIGHT	020171800254
KIT-0001	Hull Fastener Lot	SHIPWRIGHT	020171800261
PRT-0001	Oak Treenail	SHIPWRIGHT	020171800278
PRT-0002	Large Wrought-Iron Hull Spike	SHIPWRIGHT	020171800285
PRT-0003	Iron Drift Pin	SHIPWRIGHT	020171800292
PRT-0004	Hull Sealing Lead Strip	SHIPWRIGHT	020171800308
ASM-0001	Main Capstan Assembly	SHIPWRIGHT	020171800315
ASM-0002	Foredeck Windlass Assembly	SHIPWRIGHT	020171800322
ASM-0003	Removable Hatch Grating	SHIPWRIGHT	020171800339
ASM-0004	Deck Ladder Assembly	SHIPWRIGHT	020171800346
KIT-0002	Rail Hook and Ring Fitting Set	SHIPWRIGHT	020171800353
PRT-0005	Ship's Bell	SHIPWRIGHT	020171800360
ASM-0005	Seat of Ease	SHIPWRIGHT	020171800377
PRT-0006	Wrought-Iron Utility Hook	SHIPWRIGHT	020171800384
PRT-0007	Wrought-Iron Ring Bolt	SHIPWRIGHT	020171800391
PRT-0008	Capstan Bar	SHIPWRIGHT	020171800407
PRT-0009	Windlass Handspike	SHIPWRIGHT	020171800414
QAR-0023	Rudder Blade and Stock	SHIPWRIGHT	020171800421
QAR-0024	Tiller Assembly	SHIPWRIGHT	020171800438
PRT-0010	Iron Rudder Pintle	SHIPWRIGHT	020171800445
PRT-0011	Iron Rudder Gudgeon	SHIPWRIGHT	020171800452
