LocalSKU	StockUOM	UnitWeightLb	Stowage	HistoricalBasis	Confidence	SourceCode	HazardClass	LabelTemplate	Notes
QAR-0001	EA		COMPLETE VESSEL	RECONSTRUCTED	MEDIUM	QAR-HIST		READINESS-MANIFEST	Public demonstration BOM. Historical evidence, archaeological finds, period comparables, and explicitly fictional reconstruction controls are separated in metadata.
QAR-0002	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0003	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0004	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0005	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0006	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0007	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0008	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0009	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0010	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0011	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0012	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0013	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0014	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0015	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0016	EA		SYSTEM-WIDE	RECONSTRUCTED	MEDIUM	RECON		READINESS-MANIFEST	
QAR-0017	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
OFT-0001	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
QAR-0018	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
OFT-0002	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
OFT-0003	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
QAR-0019	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0020	EA			RECOVERED	MEDIUM	QAR-SHIP		KIT-LABEL	
QAR-0021	EA			RECOVERED	MEDIUM	QAR-SHIP		KIT-LABEL	
QAR-0022	EA			RECOVERED	MEDIUM	QAR-SHIP		KIT-LABEL	
KIT-0001	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
PRT-0001	EA	0.7		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0002	EA	1.2		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0003	EA	0.8		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0004	EA	2		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
ASM-0001	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0002	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0003	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0004	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0002	EA			RECONSTRUCTED	MEDIUM	QAR-SHIP		KIT-LABEL	
PRT-0005	EA	35		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
ASM-0005	EA			RECOVERED	MEDIUM	QAR-SHIP		KIT-LABEL	
PRT-0006	EA	1.1		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0007	EA	1.4		RECONSTRUCTED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0008	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0009	EA	16		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0023	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0024	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0010	EA	22		RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0011	EA	20		RECONSTRUCTED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0012	COIL	12		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0006	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0013	EA			RECOVERED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0014	EA	14		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0003	EA	3		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0007	EA	9		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
MAT-0001	LOT	100		RECOVERED	MEDIUM	QAR-SHIP		STORES-LABEL	
PRT-0015	EA	50		RECONSTRUCTED	MEDIUM	QAR-SHIP		PART-ID	
PRT-0016	EA	12		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
OFT-0004	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	Reconstructed mixed battery; historical accounts refer to as many as 40 cannon aboard QAR.
OFT-0005	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
OFT-0006	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
OFT-0007	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS	EXPLOSIVE	KIT-LABEL	
OFT-0008	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0004	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0005	EA		MAIN GUN DECK	RECONSTRUCTED	MEDIUM	QAR-ARMS	ORDNANCE	KIT-LABEL	
