LocalSKU	CountryOfOrigin	Fragile	StoreDry	KeepAwayFromFlame	Toxic	HazardProfile
QAR-0001	France	0	0	0	0	
QAR-0002	Mixed Origin	0	0	0	0	
QAR-0003	Mixed Origin	0	0	1	0	
QAR-0004	Mixed Origin	0	1	0	0	
QAR-0005	Mixed Origin	0	0	0	0	
QAR-0006	Mixed Origin	0	0	0	0	
QAR-0007	Mixed Origin	1	1	0	0	
QAR-0008	Mixed Origin	0	0	0	0	
QAR-0009	Mixed Origin	0	1	0	0	
QAR-0010	Mixed Origin	1	1	0	0	
QAR-0011	Mixed Origin	0	0	0	0	
QAR-0012	Mixed Origin	0	1	0	0	
QAR-0013	Mixed Origin	0	1	0	0	
QAR-0014	Mixed Origin	0	1	0	0	
QAR-0015	Mixed Origin	0	1	0	0	
QAR-0016	United States	0	1	0	0	
QAR-0017	Mixed Origin	0	0	0	0	
OFT-0001	Mixed Origin	0	0	0	0	
QAR-0018	France	0	0	0	0	
OFT-0002	Mixed Origin	0	0	0	0	
OFT-0003	Mixed Origin	0	0	0	0	
QAR-0019	France	0	0	0	0	
QAR-0020	France	0	0	0	0	
QAR-0021	France	0	0	0	0	
QAR-0022	France	0	0	0	0	
KIT-0001	Mixed Origin	0	0	0	0	
PRT-0001	North American Colonies	0	0	0	0	
PRT-0002	France	0	0	0	0	
PRT-0003	France	0	0	0	0	
PRT-0004	France	0	1	0	0	
ASM-0001	France	0	0	0	0	
ASM-0002	France	0	0	0	0	
ASM-0003	France	0	0	0	0	
ASM-0004	France	0	0	0	0	
KIT-0002	Mixed Origin	0	0	0	0	
PRT-0005	France	0	0	0	0	
ASM-0005	France	0	0	0	0	
PRT-0006	France	0	0	0	0	
PRT-0007	France	0	0	0	0	
PRT-0008	France	0	0	0	0	
PRT-0009	France	0	0	0	0	
QAR-0023	France	0	0	0	0	
QAR-0024	France	0	0	0	0	
PRT-0010	France	0	0	0	0	
PRT-0011	France	0	0	0	0	
PRT-0012	Baltic Region	0	1	0	0	
ASM-0006	France	0	0	0	0	
PRT-0013	France	0	0	0	0	
PRT-0014	France	0	0	0	0	
KIT-0003	Mixed Origin	0	1	0	0	
ASM-0007	Baltic Region	0	1	0	0	
MAT-0001	Local Supply	0	0	0	0	
PRT-0015	France	0	0	0	0	
PRT-0016	Netherlands	0	1	0	0	
OFT-0004	Mixed Origin	0	0	0	0	
OFT-0005	Mixed Origin	0	0	0	0	
OFT-0006	Mixed Origin	0	0	0	0	
OFT-0007	Mixed Origin	0	1	1	0	EXPLOSIVE
OFT-0008	Mixed Origin	0	0	0	0	
KIT-0004	Mixed Origin	0	0	0	0	
KIT-0005	Mixed Origin	0	0	0	0	ORDNANCE
KIT-0006	Mixed Origin	0	0	0	0	ORDNANCE
KIT-0007	Mixed Origin	0	0	0	0	ORDNANCE
PRT-0017	Great Britain	0	0	0	0	
PRT-0018	Great Britain	0	0	0	0	
PRT-0019	Great Britain	0	0	0	0	
ASM-0008	Great Britain	0	0	0	0	
ASM-0009	Great Britain	0	0	0	0	
ASM-0010	Great Britain	0	0	0	0	
KIT-0008	Mixed Origin	0	0	0	0	
KIT-0009	Mixed Origin	0	0	0	0	
KIT-0010	Mixed Origin	0	1	0	0	
KIT-0011	Mixed Origin	0	1	0	0	
KIT-0012	Mixed Origin	0	1	1	0	AMMUNITION
KIT-0013	Mixed Origin	0	1	1	0	AMMUNITION
KIT-0014	Mixed Origin	0	1	1	0	AMMUNITION
LBL-0001	United States	0	1	0	0	
LBL-0002	United States	0	1	0	0	
LBL-0003	United States	0	1	0	0	
PRT-0020	Great Britain	0	0	0	0	
PRT-0021	Great Britain	0	0	0	0	
PRT-0022	Great Britain	0	0	0	0	
PRT-0023	Great Britain	0	0	0	0	
PRT-0024	Great Britain	0	0	0	0	
PRT-0025	Great Britain	0	0	0	0	
PRT-0026	Great Britain	0	0	0	0	
PRT-0027	Great Britain	0	0	0	0	
PRT-0028	Great Britain	0	0	0	0	
PRT-0029	Great Britain	0	0	0	0	
ASM-0011	Great Britain	0	0	0	0	
PRT-0030	Great Britain	0	0	0	0	
PRT-0031	Great Britain	0	0	0	0	
PRT-0032	Great Britain	0	0	0	0	
PRT-0033	Great Britain	0	0	0	0	
PRT-0034	Great Britain	0	1	0	0	
PRT-0035	Great Britain	0	1	1	0	
PRT-0036	Great Britain	0	0	0	0	
KIT-0015	Mixed Origin	0	0	0	0	
PRT-0037	Great Britain	0	0	0	0	
PRT-0038	Great Britain	0	0	0	0	
PRT-0039	Great Britain	0	0	0	0	
PRT-0040	Great Britain	0	0	0	0	
ASM-0012	Great Britain	0	0	0	0	
PRT-0041	Great Britain	0	0	0	0	
PRT-0042	Great Britain	0	0	0	0	
PRT-0043	Baltic Region	0	1	0	0	
PRT-0044	Baltic Region	0	1	0	0	
ASM-0013	Baltic Region	0	1	0	0	
PRT-0045	Great Britain	0	0	0	0	
PRT-0046	Great Britain	0	0	0	0	
PRT-0047	Baltic Region	0	1	0	0	
PRT-0048	Great Britain	0	0	0	0	
PRT-0049	Great Britain	0	0	0	0	
PRT-0050	Great Britain	0	0	0	0	
PRT-0051	Great Britain	0	0	0	0	
PRT-0052	Great Britain	0	0	0	0	
ASM-0014	Great Britain	0	0	0	0	
MAT-0002	Great Britain	0	0	0	0	
MAT-0003	Great Britain	0	0	0	0	
ASM-0015	Great Britain	0	0	0	0	
ASM-0016	Great Britain	0	0	0	0	
PKG-0001	Great Britain	0	0	0	0	
ASM-0017	Great Britain	0	1	1	0	EXPLOSIVE
PKG-0002	North American Colonies	0	1	0	0	
MAT-0004	Great Britain	0	1	1	0	EXPLOSIVE
LBL-0004	United States	0	1	0	0	
KIT-0016	Mixed Origin	0	1	1	0	
ASM-0018	Great Britain	1	0	0	0	
PKG-0003	Great Britain	0	1	0	0	
PRT-0053	Great Britain	1	1	0	0	
KIT-0017	Mixed Origin	1	1	0	0	
PRT-0054	Great Britain	0	1	0	0	
PRT-0055	Great Britain	0	1	0	0	
MAT-0005	Netherlands	0	1	1	0	EXPLOSIVE
MAT-0006	Netherlands	0	1	1	0	EXPLOSIVE
KIT-0018	Mixed Origin	0	1	0	0	
KIT-0019	Mixed Origin	0	1	0	0	
PRT-0056	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0057	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0058	Great Britain	0	0	0	0	SHARP_EDGE
ASM-0019	Great Britain	0	0	1	0	EXPLOSIVE
PRT-0059	Great Britain	0	1	0	0	
PRT-0060	Great Britain	0	1	0	0	
MAT-0007	Great Britain	0	1	0	0	
MAT-0008	Great Britain	0	0	0	0	
MAT-0009	Great Britain	0	0	0	0	
PKG-0004	Great Britain	0	1	0	0	
PRT-0061	Great Britain	0	0	0	0	
PRT-0062	Great Britain	0	0	0	0	
QAR-0025	Mixed Origin	0	0	0	0	
OFT-0009	Mixed Origin	0	1	0	0	
OFT-0010	Mixed Origin	0	1	0	0	
QAR-0026	Mixed Origin	0	1	0	0	
OFT-0011	Mixed Origin	0	1	0	0	
QAR-0027	France	0	0	0	0	
QAR-0028	France	0	0	0	0	
QAR-0029	France	0	0	0	0	
QAR-0030	France	0	0	0	0	
QAR-0031	France	0	0	0	0	
QAR-0032	Netherlands	0	1	0	0	
QAR-0033	France	0	0	0	0	
QAR-0034	France	0	0	0	0	
QAR-0035	Netherlands	0	1	0	0	
QAR-0036	France	0	0	0	0	
QAR-0037	France	0	0	0	0	
QAR-0038	Netherlands	0	1	0	0	
ASM-0020	Baltic Region	0	1	0	0	
ASM-0021	Baltic Region	0	1	0	0	
ASM-0022	Baltic Region	0	1	0	0	
PRT-0063	Baltic Region	0	1	0	0	
PRT-0064	Baltic Region	0	1	0	0	
PRT-0065	Baltic Region	0	1	0	0	
PRT-0066	Baltic Region	0	1	0	0	
PRT-0067	Baltic Region	0	1	0	0	
PRT-0068	Great Britain	0	0	0	0	
PRT-0069	Great Britain	0	0	0	0	
PRT-0070	Baltic Region	0	1	0	0	
PRT-0071	Great Britain	0	0	0	0	
PRT-0072	Baltic Region	0	1	0	0	
PRT-0073	Baltic Region	0	1	0	0	
PRT-0074	Baltic Region	0	1	0	0	
PRT-0075	Baltic Region	0	1	0	0	
PRT-0076	Baltic Region	0	1	0	0	
PRT-0077	Baltic Region	0	1	0	0	
PRT-0078	Baltic Region	0	1	0	0	
PRT-0079	Baltic Region	0	1	0	0	
PRT-0080	Baltic Region	0	1	0	0	
QAR-0039	Netherlands	0	1	0	0	
QAR-0040	Netherlands	0	1	0	0	
QAR-0041	Netherlands	0	1	0	0	
QAR-0042	Netherlands	0	1	0	0	
QAR-0043	Netherlands	0	1	0	0	
QAR-0044	Netherlands	0	1	0	0	
QAR-0045	Netherlands	0	1	0	0	
QAR-0046	Netherlands	0	1	0	0	
QAR-0047	Netherlands	0	1	0	0	
QAR-0048	Netherlands	0	1	0	0	
QAR-0049	Netherlands	0	1	0	0	
QAR-0050	Netherlands	0	1	0	0	
QAR-0051	Netherlands	0	1	0	0	
QAR-0052	Netherlands	0	1	0	0	
PRT-0081	Great Britain	0	0	0	0	
PRT-0082	Great Britain	0	0	0	0	
PRT-0083	Great Britain	0	0	0	0	
